INDEX,LIBMIN,PMUN15,SURFACE,DENSITE
66,Menin,33012,33.07,998.246144542
67,Heusden-Zolder,32977,53.23,619.519068195
68,Auderghem,32922,9.03,3645.84717608
69,Bilzen,31752,75.90,418.339920949
70,Zaventem,32751,27.62,1185.7711803
71,Wevelgem,31344,38.76,808.66873065
72,Ottignies-Louvain-la-Neuve,31242,32.96,947.876213592
73,Asse,32133,49.64,647.320709106
74,Audenarde,30875,68.06,453.643843667
75,Courcelles,30976,44.24,700.180831826
76,Tongres,30728,87.56,350.936500685
77,Houthalen-Helchteren,30668,78.27,391.823176185
78,Deinze,30434,75.53,402.939229445
79,Waterloo,29533,21.03,1404.32715169
80,Aerschot,29335,62.52,469.209852847
81,Tamise,29221,39.91,732.172387873
82,Arlon,29053,118.64,244.883681726
83,Ath,28812,126.95,226.955494289
84,Ans,28338,23.35,1213.61884368
85,Brecht,28268,90.84,311.18450022
86,Sambreville,27918,34.20,816.315789474
87,Saint-Josse-ten-Noode,27775,1.14,24364.0350877
88,Herentals,27675,48.56,569.913509061
89,Nivelles,27739,60.60,457.739273927
90,Harelbeke,27455,29.14,942.1757035
91,Izegem,27447,25.48,1077.1978022
92,Soignies,27059,110.30,245.321849501
93,Kapellen,26993,37.11,727.378065212
94,Andenne,26099,86.17,302.878031798
95,Flémalle,26049,36.68,710.169029444
96,Lanaken,25937,59.00,439.610169492
97,Zottegem,25838,56.66,456.018355101
98,Renaix,25809,34.48,748.520881671
99,Willebroek,25523,27.41,931.156512222
100,Mortsel,25462,7.78,3272.75064267
101,Maaseik,25141,76.91,326.888571057
102,Overijse,24782,44.43,557.77627729
103,Westerlo,24623,55.13,446.63522583
104,Oupeye,24692,36.11,683.799501523
105,Hamme,24621,40.21,612.310370555
106,Watermael-Boitsfort,24529,12.93,1897.06109822
107,Beersel,24792,30.01,826.124625125
108,Zwevegem,24301,63.24,384.26628716
109,Gembloux,25232,95.86,263.217191738
110,Wetteren,24893,36.68,678.653217012
111,Tubize,25255,32.66,773.270055113
112,Merelbeke,24064,36.65,656.589358799
113,Ganshoren,24086,2.46,9791.05691057
114,Saint-Nicolas,23955,6.84,3502.19298246
115,Diest,23455,58.20,403.006872852
116,Maldegem,23492,94.64,248.224852071
117,Saint-Ghislain,22917,70.18,326.546024508
118,Berchem-Sainte-Agathe,23882,2.95,8095.59322034
119,Oostkamp,23138,79.65,290.495919648
120,Fleurus,22933,59.28,386.858974359
121,Manage,22890,19.60,1167.85714286
122,Scherpenheuvel-Zichem,22823,50.50,451.940594059
123,Zemst,22779,42.83,531.84683633
124,Grâce-Hollogne,22614,34.24,660.455607477
125,Nijlen,22558,39.09,577.07853671
126,Zedelgem,22450,60.34,372.058336095
127,Coxyde,22139,43.96,503.616924477
128,Lochristi,22064,60.34,365.6612529
129,Balen,22014,72.88,302.058177827
130,Rixensart,22013,17.54,1255.01710376
131,Frameries,21837,25.95,841.502890173
132,Zoersel,21739,38.65,562.457956016
133,Koekelberg,21577,1.17,18441.8803419
134,Tervueren,21523,32.92,653.79708384
135,Braine-le-Comte,21473,84.68,253.578176665
136,Huy,21433,47.74,448.952660243
137,Edegem,21363,8.65,2469.71098266
138,Zonhoven,21213,39.34,539.222165735
139,Hoogstraten,21116,105.32,200.493733384
140,Herent,21073,32.73,643.843568592
141,Chaudfontaine,20980,25.52,822.10031348
142,Bornem,20952,45.76,457.867132867
143,Kontich,20913,23.67,883.523447402
144,Zele,20854,33.06,630.792498488
145,Eeklo,20701,30.05,688.885191348
146,Colfontaine,20616,13.62,1513.65638767
147,Wavre-Sainte-Catherine,20446,36.12,566.057585825
148,Torhout,20383,45.23,450.652221977
149,Dilsen-Stokkem,20214,65.61,308.093278464
