INDEX,LIBMIN,1846-Hab.,1900-Hab.,1947-Hab.,2000-Hab.,2012-Hab.,PMUN15,SURFACE,DENSITE,LAT,LONG
273,Mettet,8577,9964,9446,11317,12789,12902,116.78,110,50.32002,4.65785
274,Bocholt,2285,3428,6979,11887,12729,12862,59.34,217,51.17291,5.57899
275,Boechout,2632,4059,7651,11919,12724,12827,20.66,621,51.1608194,4.5103875
276,Keerbergen,2306,2548,4117,11992,12774,12796,18.39,696,51.0057936,4.6320416
277,Zandhoven,3173,3564,6524,12085,12580,12727,40.10,317,51.2162255,4.6624922
278,Gavere,7674,8573,8994,11847,12529,12606,31.35,402,50.9283314,3.6599198
279,LeCoq,2180,2855,5965,11355,12473,12597,42.17,299,51.2762294,3.0300572
280,Rochefort,5189,9144,9338,11747,12474,12576,165.27,76,50.1596036,5.2221665
281,Wommelgem,1496,2703,5506,11762,12386,12564,13.01,966,51.2021676,4.5219648
282,Herck-la-Ville,3965,4839,7325,11615,12316,12488,42.83,292,50.93923,5.16712
283,Zelzate,3566,6241,10016,12094,12491,12464,13.71,909,51.1987114,3.8119772
284,Laarne,8785,9714,9615,11610,12290,12417,32.07,387,51.0304538,3.8535988
285,Zonnebeke,10179,13239,11582,11545,12380,12395,67.57,183,50.8727216,2.9874808
286,Malmédy,,,8212,11144,12336,12386,99.96,124,50.4246396,6.0283276
287,Kortemark,11055,12344,12543,12232,12267,12374,55.00,225,51.0284499,3.0441091
288,Gerpinnes,4197,5780,6062,12050,12248,12343,47.10,262,50.3373282,4.5277925
289,Kinrooi,3461,4285,6588,11749,12252,12329,54.76,225,51.14552,5.74113
290,Beyne-Heusay,3824,7413,9500,11661,11995,12066,7.32,1648,50.6216012,5.6558548
291,Hechtel-Eksel,2421,2978,5221,11149,11940,12269,76.70,160,51.12509,5.3670663
292,Olen,1844,2319,5538,10895,11923,12218,23.17,527,51.1440245,4.8599119
293,Aywaille,3707,6099,6868,10065,11689,12173,79.97,152,50.47318,5.67584
294,Theux,8506,8532,8176,11170,11992,12147,83.36,146,50.5350795,5.8141847
295,Steenokkerzeel,3631,4804,6033,10419,11640,12098,23.46,516,50.90793,4.51349
296,Profondeville,6016,5774,6508,10741,11677,12089,50.34,240,50.3756621,4.8674002
297,Nevele,12169,10511,9806,10993,11908,12075,51.89,233,51.0343323,3.5474483
298,Boortmeerbeek,3361,3670,5784,11397,11967,12070,18.64,648,50.97939,4.57598
299,Anderlues,3219,9086,12383,11540,11895,11972,17.02,703,50.40604,4.28394
300,Bernissart,8231,9557,12140,11433,11673,11879,43.42,274,50.4743736,3.6504695
301,Gistel,5429,6227,8406,11085,11792,11787,42.25,279,51.1562658,2.9676422
302,Chaumont-Gistoux,6181,4808,3899,10141,11601,11725,48.09,244,50.67687,4.71943
303,Deerlijk,4918,5429,8114,11460,11414,11686,16.82,695,50.85374,3.35335
304,Rijkevorsel,1449,3185,6181,10455,11434,11678,46.79,250,51.34806,4.76054
305,Frasnes-lez-Anvaing,19121,16169,11613,10872,11439,11655,112.44,104,50.66471,3.61536
306,Kampenhout,5456,5808,6972,10732,11316,11632,33.49,347,50.94209,4.54981
307,Florennes,8160,9363,8967,10668,11183,11554,133.55,86,50.2505512,4.6051131
308,Wichelen,7008,6843,9058,10961,11374,11533,22.87,504,51.0048208,3.97358
309,Nazareth,7872,7219,6926,10876,11351,11508,35.19,327,50.9597541,3.5951314
310,Furnes,11155,11914,12578,11854,11516,11507,96.34,119,51.073159,2.6680341
