LIBMIN,CBS,PROVINCE,PMUN14,DENSITE,SURFACE,LAT,LONG
Leiderdorp,547,SouthHolland,26788,2313,12.28,52.1509854,4.5281733
Leidschendam-Voorburg,1916,SouthHolland,73392,2214,35.62,52.0877314,4.3993855
Lelystad,995,Flevoland,76170,325,765.45,52.518537,5.471422
Leudal,1640,Limburg,36213,224,164.89,51.261966,5.8909968
Leusden,327,Utrecht,28967,493,58.89,52.1317932,5.4294692
Lingewaal,733,Gelderland,11059,216,54.49,51.8380891,5.0763838
Lingewaard,1705,Gelderland,45814,735,69.14,51.9038908,5.935221
Lisse,553,SouthHolland,22376,1435,16.05,52.2579303,4.5574834
Littenseradiel,140,Friesland,10929,84,132.64,53.1065984,5.6315126
Lochem,262,Gelderland,33268,156,215.94,52.1614115,6.4155986
LoonopZand,809,NorthBrabant,23104,460,50.71,51.6270137,5.0720086
Lopik,331,Utrecht,14000,185,78.98,51.974861,4.9451478
Loppersum,24,Groningen,10181,93,111.99,53.3321749,6.7479874
Losser,168,Overijssel,22619,229,99.61,52.2628522,7.0057853
Maasdriel,263,Gelderland,24197,364,75.46,51.7689071,5.3233045
Maasgouw,1641,Limburg,23888,526,57.99,51.1678052,5.8841399
Maassluis,556,SouthHolland,32097,3751,10.12,51.9226067,4.2545656
Maastricht,935,Limburg,122331,2131,60.03,50.8513682,5.6909725
DeMarne,1663,Groningen,10205,62,240.33,53.360934,6.3805213
Marum,25,Groningen,10350,161,64.89,53.1462522,6.2673259
Medemblik,420,NorthHolland,43331,354,257.56,52.7674467,5.1069179
Meerssen,938,Limburg,19259,716,27.64,50.8849427,5.7526367
Menameradiel,1908,Friesland,13653,200,70.03,53.2179053,5.6616967
Menterwolde,1987,Groningen,12250,154,81.62,53.1387725,6.9284995
Meppel,119,Drenthe,32875,585,57.03,52.6921234,6.1937187
Middelburg,687,Zeeland,47660,984,53.04,51.4987962,3.610998
Midden-Delfland,1842,SouthHolland,18449,385,49.38,51.9542011,4.2883099
Midden-Drenthe,1731,Drenthe,33368,98,345.87,52.8611037,6.5123043
MillenSintHubert,815,NorthBrabant,10843,209,53.17,51.6798065,5.7553811
Moerdijk,1709,NorthBrabant,36775,229,184.03,51.7018167,4.6273499
Molenwaard,1927,SouthHolland,29043,246,126.47,51.8921302,4.7983399
Montferland,1955,Gelderland,34985,332,106.63,51.919617,6.2463106
Montfoort,335,Utrecht,13639,361,38.2,52.0362127,4.9518586
MookenMiddelaar,944,Limburg,7783,453,18.81,51.7512298,5.8816298
Neder-Betuwe,1740,Gelderland,22591,373,68.16,51.9309372,5.574103
Nederweert,946,Limburg,16773,167,101.78,51.2865631,5.7527014
Neerijnen,304,Gelderland,12022,181,72.9,51.8319019,5.2793557
Nieuwegein,356,Utrecht,61017,2566,25.65,52.0248208,5.0918192
Nieuwkoop,569,SouthHolland,27114,342,91.16,52.1500559,4.777359
Nijkerk,267,Gelderland,40600,578,72.1,52.2224835,5.4835625
Nijmegen,268,Gelderland,168499,3081,57.6,51.8125626,5.8372264
Nissewaard,1930,SouthHolland,85083,1034,98.74,NaN,NaN
Noord-Beveland,1695,Zeeland,7508,88,121.51,51.5702826,3.7714839
Noordenveld,1699,Drenthe,31110,154,205.32,53.0950927,6.4455409
Noordoostpolder,171,Flevoland,46372,101,595.43,52.692622,5.7378425
Noordwijk,575,SouthHolland,25689,719,51.45,52.2399885,4.4500094
Noordwijkerhout,576,SouthHolland,15982,692,23.42,52.2601939,4.4955838
Nuenen.GerwenenNederwetten,820,NorthBrabant,22596,669,33.94,51.4782515,5.5568585
Nunspeet,302,Gelderland,26707,207,129.53,52.3747719,5.769895
Nuth,951,Limburg,15577,473,33.13,50.9114274,5.8925961
