INDEX,LIBMIN,PMUN15,SURFACE,DENSITE,LAT,LONG
511,Chiny,5174,113.69,45.5097194124,49.7405487,5.3427691
512,Héron,5164,38.32,134.759916493,50.5506312,5.0978682
513,Rumes,5155,23.72,217.327150084,50.5540194,3.3055671
514,Havelange,5065,104.73,48.3624558388,50.38632,5.24429
515,Alveringem,5011,80.01,62.6296712911,51.0123224,2.7095311
516,Sivry-Rance,4856,72.97,66.5478963958,50.1699509,4.1813855
517,Incourt,5229,38.79,134.802784223,50.69188,4.7966
518,Léglise,5160,172.92,29.840388619,49.8000238,5.5376254
519,Libin,5069,139.72,36.2797022617,49.9815451,5.2572
520,Ohey,4978,56.62,87.9194630872,50.4366759,5.1246042
521,Cerfontaine,4867,83.45,58.3223487118,50.1692339,4.4106574
522,Ferrières,4846,56.90,85.1669595782,50.40029,5.60564
523,Linkebeek,4737,4.15,1141.44578313,50.7660264,4.3456087
524,Houyet,4709,122.31,38.5005314365,50.1854752,5.009969
525,Clavier,4510,79.12,57.0020222447,50.4114801,5.3635498
526,Musson,4495,34.81,129.129560471,49.5581782,5.7057125
527,Gedinne,4485,151.56,29.5922406968,49.98081,4.93707
528,Pepingen,4392,36.05,121.830790569,50.75857,4.1642
529,Lens,4388,49.42,88.7899635775,50.5566281,3.9005909
530,Baelen,4375,85.73,51.032310743,50.6301763,5.9692046
531,Merbes-le-Château,4306,30.24,142.394179894,50.3244188,4.1645213
532,Aubel,4233,18.83,224.800849708,50.7021296,5.8592295
533,Tintigny,4221,81.79,51.6077760117,49.6833444,5.5131279
534,Modave,4191,40.37,103.814713896,50.4423889,5.3007183
535,LaRoche-en-Ardenne,4162,147.52,28.2131236443,50.181616,5.5759208
536,Anthisnes,4091,37.08,110.329018339,50.4820509,5.5194711
537,Fourons,4089,50.63,80.7623938376,50.7587669,5.7610934
538,Verlaine,4079,24.21,168.48409748,50.60633,5.31729
539,Froidchapelle,3969,86.03,46.1350691619,50.1500253,4.3282158
540,Burg-Reuland,3954,108.96,36.2885462555,50.1954118,6.1361698
541,Olne,3921,15.99,245.21575985,50.5900615,5.7465679
542,Hamoir,3896,27.80,140.143884892,50.4267955,5.5315795
543,Faimes,3894,28.48,136.72752809,50.66183,5.26009
544,Oreye,3799,19.64,193.431771894,50.73175,5.3577
545,Mont-de-l'Enclus,3723,26.93,138.247307835,50.7403202,3.5052669
546,Brugelette,3624,28.40,127.605633803,50.5991633,3.8545198
547,Vleteren,3624,38.15,94.9934469201,50.9296908,2.7327547
548,Lierneux,3578,92.08,38.8575152042,50.2848031,5.7950312
549,Saint-Léger,3547,35.86,98.912437256,49.6119564,5.6566551
550,Flobecq,3464,23.00,150.608695652,50.7367,3.73852
551,Manhay,3463,119.81,28.9040981554,50.2908885,5.6614499
552,Bertogne,3440,91.67,37.5259081488,50.0848665,5.6681775
553,Geer,3388,23.62,143.437764606,50.6701762,5.1828092
554,Érezée,3361,78.44,42.848036716,50.29172,5.55853
555,Hélécine,3337,16.62,200.782190132,50.7497791,4.9829359
556,Lo-Reninge,3274,62.94,52.0177947251,50.9688486,2.7818969
557,Lincent,3272,14.75,221.830508475,50.7128616,5.0305803
558,Fexhe-le-Haut-Clocher,3258,19.25,169.246753247,50.665333,5.3994597
559,Bièvre,3215,109.59,29.3366183046,49.9414154,5.0165882
560,Crisnée,3234,16.83,192.156862745,50.7174005,5.3977268
561,Onhaye,3163,65.53,48.2679688692,50.2415081,4.8398572
562,Burdinne,3138,32.57,96.3463309794,50.58411,5.07643
563,Stoumont,3122,108.45,28.7874596588,50.4068434,5.8086125
564,Donceel,3022,23.31,129.643929644,50.64577,5.32138
565,Berloz,3021,14.49,208.488612836,50.69875,5.21265
566,Wellin,3021,67.52,44.7422985782,50.0818972,5.1137991
567,Doische,2928,84.02,34.848845513,50.1362261,4.7461199
568,Wasseiges,2854,24.45,116.72801636,50.61754,5.00162
569,Tenneville,2804,91.81,30.5413353665,50.092027,5.5245671
570,Rendeux,2782,68.83,40.4184221996,50.2348339,5.5081521
571,Ouffet,2767,40.22,68.7966185977,50.4381,5.46538
572,Vresse-sur-Semois,2749,101.04,27.2070467142,49.8725882,4.9326558
573,Meix-devant-Virton,2741,54.20,50.5719557196,49.6056457,5.4780041
574,Zuienkerke,2721,48.86,55.689725747,51.2649386,3.153933
575,Bar-le-Duc,2694,7.48,360.160427807,51.4418,4.9317
576,Tinlot,2649,37.12,71.3631465517,50.4777355,5.378818
577,Trois-Ponts,2545,68.90,36.9375907112,50.3717154,5.8703455
578,Sainte-Ode,2463,97.87,25.1660365791,50.02683,5.54655
579,Tellin,2453,56.64,43.3086158192,50.0833973,5.2208099
580,Fauvillers,2215,74.11,29.8880043179,49.851562,5.6627735
581,Biévène,2175,19.78,109.959555106,50.7169522,3.9406874
582,Espierres-Helchin,2143,10.78,198.79406308,50.7297543,3.3595085
583,Rouvroy,2109,27.68,76.1921965318,49.53812,5.49189
584,Horebeke,2035,11.20,181.696428571,50.8372,3.68672
585,Herbeumont,1954,58.81,33.2256418976,49.78095,5.2376
586,Martelange,1777,29.67,59.8921469498,49.8324009,5.7402041
587,Daverdisse,1465,56.40,25.975177305,50.0202615,5.1182212
588,Messines,1049,3.58,293.016759777,50.7638555,2.8976699
589,Herstappe,87,1.35,64.4444444444,50.72653,5.426
