LIBMIN,PMUN13,SURFACE,DENSITE,LAT,LONG
Escholzmatt-Marbach,4323,106.4,40.6,46.916667,7.933333
Essert-Pittet,152,2.8,55.1,46.7278224,6.5835259
Essertes,319,1.7,193.3,46.5623699,6.7891283
Essertines-sur-Rolle,682,7.0,98.1,46.492086,6.3173032
Essertines-sur-Yverdon,901,9.7,92.4,46.7155103,6.6394087
Estavayer-le-Lac,6094,8.9,685.5,46.8496401,6.8450608
Etagnières,1076,3.8,283.9,46.5998975,6.6129185
Etoy,2883,4.9,587.2,46.4860297,6.4192307
Ettingen,4870,6.4,766.9,47.4819119,7.5448507
Ettiswil,2535,12.5,201.7,47.1501373,8.0191817
Etziken,771,3.4,228.1,47.1876571,7.6484107
Evilard,2500,3.6,679.3,47.149734,7.2388908
Evionnaz,1202,48.0,25.0,46.1782231,7.0223787
Evolène,1729,210.0,8.2,46.11363,7.49613
Eysins,1398,2.3,587.4,46.381576,6.2088848
Fällanden,8147,6.4,1277.0,47.3706194,8.6388249
Fahrni,811,6.7,121.6,46.7971023,7.6695808
Fahrwangen,1940,4.0,486.2,47.2946906,8.2420267
Fahy,357,7.8,45.9,47.4180013,6.9502285
Faido,2993,126.1,23.7,46.4782177,8.8009636
Falera,594,22.4,26.6,46.8012412,9.2304912
Faoug,795,3.5,230.4,46.9082235,7.0778743
Farnern,208,3.7,56.4,47.26645,7.62193
Farvagny,2168,10.0,216.2,46.7210719,7.0648956
Féchy,857,2.7,317.4,46.47957,6.372875
Fehraltorf,6283,9.5,662.8,47.3881047,8.7517889
Fehren,626,1.5,423.0,47.3964567,7.5791849
Felben-Wellhausen,2611,7.3,353.8,47.5775159,8.9444042
Feldbrunnen-St.Niklaus,939,2.5,375.6,47.2206165,7.5555367
Felsberg,2429,13.4,181.4,46.8452376,9.4712304
Ferden,254,27.9,9.1,46.3939824,7.7594746
Ferenbalm,1245,9.2,135.6,46.9436496,7.2281359
Ferlens(VD),328,2.2,151.2,46.5889426,6.7855468
Ferpicloz,280,1.0,277.2,46.7477952,7.1646769
Ferrera,88,75.4,1.2,46.5248912,9.4485301
Ferreyres,304,3.2,96.5,46.6583354,6.4856196
Fétigny,896,4.1,219.6,46.7988384,6.9164261
Feuerthalen,3490,2.5,1407.3,47.6885343,8.6497285
Feusisberg,4936,17.5,281.9,47.1869781,8.7469796
Fey,608,7.4,82.7,46.67606,6.68168
Fideris,583,25.3,23.0,46.91472,9.74111
Fiesch,935,11.3,83.0,46.4014491,8.1333135
Fieschertal,320,173.0,1.9,46.4245787,8.143049
Fiez,412,6.8,60.2,46.8665287,6.5538661
Filisur,440,44.6,9.9,46.6734153,9.6863771
Finhaut,447,22.8,19.6,46.08337,6.97688
Finsterhennen,516,3.6,144.9,47.0263567,7.1785058
Fischbach,709,8.1,88.1,47.1575788,7.9070421
Fischbach-Göslikon,1578,3.1,514.0,47.3722258,8.3072911
Fischenthal,2326,30.2,76.9,47.3311758,8.9202247
Fischingen,2554,30.7,83.4,47.4152394,8.9692231
Fisibach,394,5.8,68.0,47.5615687,8.4090582
Fislisbach,5488,5.1,1084.6,47.4387543,8.2919671
Flaach,1351,10.2,132.8,47.5754244,8.6085302
Fläsch,671,20.0,33.7,47.0266057,9.5137762
Flawil,10279,11.5,895.4,47.4133707,9.1870297
Flerden,223,6.1,36.6,46.70306,9.4085
Flims,2651,50.5,52.5,46.8366348,9.2846923
Flüelen,1985,12.4,159.8,46.900149,8.6238894
Flühli,1874,108.1,17.3,46.8830365,8.0162606
Flumenthal,941,3.1,302.6,47.2354685,7.5978716
Flums,4876,75.1,64.9,47.0916461,9.3425546
Flurlingen,1404,2.4,580.2,47.685357,8.6294367
Fontaines-sur-Grandson,154,7.9,19.6,46.8353261,6.6197652
Fontenais,1677,20.0,83.9,47.4022014,7.0803088
Forel(Lavaux),2037,18.5,110.0,46.5404339,6.7694712
Forel-sur-Lucens,152,2.9,53.7,46.7271332,6.8242127
Forst-Längenbühl,766,4.5,170.6,46.75,7.516667
Founex,3450,4.8,720.3,46.3328701,6.192647
Fräschels,466,3.1,148.4,46.9978982,7.2082472
