LIBMIN,PMUN13,SURFACE,DENSITE
Dierikon,1462,2.8,525.9
DiessbachbeiBüren,950,6.3,150.6
Diessenhofen,3614,10.0,357.1
Dietikon,25426,9.3,2725.2
Dietlikon,7238,4.2,1707.1
Dietwil,1286,5.5,233.8
Dinhard,1497,7.1,212.0
Dintikon,2110,3.7,565.7
Disentis/Mustér,2064,91.1,22.7
Dittingen,771,6.7,114.2
Dizy,225,3.1,74.0
Dörflingen,933,5.8,160.3
Döttingen,3826,7.0,552.9
Domat/Ems,7554,24.2,311.9
Domdidier,2936,8.9,329.5
Dompierre(FR),937,4.4,210.6
Dompierre(VD),250,3.2,77.9
Donat,205,4.7,43.9
Donneloye,739,9.0,82.0
Doppleschwand,746,7.0,107.0
Dorénaz,834,12.5,66.3
Dorf,621,5.5,111.9
Dornach,6468,5.8,1121.0
Dottikon,3710,3.9,956.2
Dotzigen,1408,4.2,333.6
Dozwil,675,1.3,511.4
DreiHöfe,745,4.5,163.4
Dübendorf,25801,13.6,1894.3
Düdingen,7664,30.8,249.0
Dürnten,7181,10.2,702.6
Dürrenäsch,1189,5.9,201.2
Dürrenroth,1066,14.0,75.5
Duggingen,1431,5.9,243.8
Duillier,1052,4.1,256.0
Dulliken,4765,6.0,786.3
Dully,570,1.6,343.4
Ebersecken,402,8.6,47.0
Ebikon,12602,9.7,1301.9
Ebnat-Kappel,4977,43.6,114.3
Echallens,5391,6.7,809.5
Echandens,2234,3.9,575.8
Echarlens,784,4.6,169.3
Echichens,2556,13.3,192.9
Eclépens,1017,5.8,175.0
Ecublens(FR),320,4.9,65.3
Ecublens(VD),12001,5.7,2101.8
Ederswiler,118,3.3,35.6
Effingen,592,6.9,86.4
Egerkingen,3308,6.9,476.7
Egg,8296,14.5,572.1
Eggenwil,915,2.5,372.0
Eggerberg,339,6.0,57.1
Eggersriet,2243,8.9,252.0
Eggiwil,2433,60.3,40.3
Eglisau,4942,9.1,545.5
Egliswil,1326,6.3,210.8
Egnach,4466,18.5,242.5
Egolzwil,1329,4.2,318.7
